"Story","Title","Result","Date","Stability","Duration (s)"
"Config User","Create user successfully","SUCCESS","2026-01-14T11:48:15.8514381-05:00[America/Bogota]","0.0","7.78"
"Config User","User consulted successfully.","FAILURE","2026-01-14T11:48:23.6676393-05:00[America/Bogota]","0.0","2.09"
